	logamplitude	logpitch	logFM	logAM2	logentropy	logpitchgoodness	logmeanfreq	logvpitch	logvFM	logventropy	logvpitchgoodness	vmeanfreq	PC1	PC1neg	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	Population	Domesticated	Template	Target
166	1.017136245	0.746525629	0.817714155	0.753790804	0.872155203	0.764603481	0.766956699	0.322088156	0.688157285	0.683716854	0.746187993	0.625331182	4.029631535	-4.029631535	-0.692986346	-0.29756625	-0.19398258	-0.330982015	0.028770268	0.374357699	0.103616878	0.140621341	-0.103357736	0.016484298	-0.14958932	ECU	Domesticated	filtered_NewRunLP85_tclust	filtered_SameEarlierALP68_tclust
167	0.196986164	0.373630391	0.290844119	0.433026921	0.504402454	0.637126345	0.515786805	-0.159057145	0.458134872	-0.002007553	0.625474241	0.25243839	-0.09656814	0.09656814	0.937182986	-1.389845725	-0.039627324	0.398531716	0.115720867	0.562432861	0.187999601	-0.408794226	-0.749704229	0.685362293	0.015379505	ECU	Domesticated	filtered_NewRunLP85_tclust	filtered_SameEarlierALP75_tclust
168	0.620570229	0.480153076	0.571850579	0.501259151	0.155339543	0.682604949	0.647133358	-0.129144285	0.173895796	0.19960097	0.36231976	0.098035605	0.110996216	-0.110996216	-0.471347343	-1.305835527	0.505784625	-0.119049241	0.765396488	-0.516894982	0.266926058	0.34494505	-0.013308117	-0.254542747	0.408140827	ECU	Domesticated	filtered_NewRunLP87_tclust	filtered_NewRunDP99_tclust
169	0.640711867	0.46783976	0.586560405	0.494237641	0.46332318	0.627000962	0.686412855	0.198536156	0.360561689	0.494038245	0.464795726	0.499918817	1.486058152	-1.486058152	-0.086118524	-0.390408501	0.423694137	-0.107731813	-0.049254007	-0.136863059	-0.157378161	-0.217986951	0.027688573	-0.323724627	0.109582372	ECU	Domesticated	filtered_NewRunLP87_tclust	filtered_NewRunLP47_tclust
170	0.434910569	0.486018527	0.474552793	0.45879483	0.406672602	0.455690482	0.46404164	0.335285733	0.401299306	0.409345438	0.372231603	0.403865926	0.646150727	-0.646150727	0.550193681	0.214006975	0.071308089	0.166519907	0.07352305	-0.277482804	-0.054581721	-0.114481666	0.123822211	0.08335492	0.004147925	ECU	Domesticated	filtered_NewRunLP87_tclust	filtered_NewRunLP49_tclust
171	0.77582562	0.612297401	0.588879541	0.603033575	0.595959717	0.642318849	0.920569785	0.512553971	0.52681676	0.56090115	0.548415195	0.578668697	2.77959046	-2.77959046	-0.134894807	0.017390504	1.046480405	0.014520318	0.057124697	0.072543038	-0.135230404	-0.024141763	-0.105929815	-0.054097375	0.082597801	ECU	Domesticated	filtered_NewRunLP87_tclust	filtered_NewRunLP74_tclust
172	0.72715458	0.727811654	0.759429221	0.655951408	0.791713029	0.811279681	0.671128798	0.50340338	0.606029103	0.603605344	0.781677627	0.690573025	3.578517755	-3.578517755	0.170886543	-0.224428911	-0.242522226	0.238618661	0.218531582	0.221010367	-0.101435152	-0.331522453	-0.032856477	-0.082083157	-0.088329649	ECU	Domesticated	filtered_NewRunLP87_tclust	filtered_NewRunLP85_tclust
173	0.903090605	0.571336414	0.598564612	0.458227616	0.615735676	0.710551791	0.532702932	0.133146221	0.268188035	0.305491307	0.548029228	0.37686272	1.513087609	-1.513087609	-0.9675843	-0.478831296	-0.271034006	0.183392095	0.533794535	0.453507393	-0.105526969	-0.100900707	-0.051766449	-0.213756551	0.16984301	ECU	Domesticated	filtered_NewRunLP87_tclust	filtered_NewRunPU167_tclust
174	0.633970107	0.553718449	0.540120715	0.65620512	0.651950108	0.560868242	0.616539286	0.502187851	0.53389023	0.593556559	0.537525884	0.559529881	2.290326331	-2.290326331	0.29478064	0.411622275	0.121150406	0.102310141	-0.164192597	-0.018441848	0.113280753	-0.094548098	-0.228503979	-0.002725213	-0.014021406	ECU	Domesticated	filtered_NewRunLP87_tclust	filtered_NewRunPU170_tclust
175	0.978432576	0.490443433	0.667995325	0.580638698	0.541250305	0.646995817	0.574066885	0.016322921	0.256275764	0.313576088	0.391581025	0.654670614	1.627727532	-1.627727532	-1.30647494	-0.356244688	-0.03993212	-0.39907191	0.136074031	0.08328866	0.28922134	-0.764505923	0.209463111	-0.255451493	0.255489759	ECU	Domesticated	filtered_NewRunLP87_tclust	filtered_SameEarlierALP68_tclust
176	0.494113323	0.554251105	0.530178919	0.680129092	0.44138471	0.636741364	0.390671806	0.105935234	0.306767834	0.382832708	0.457140327	0.675634006	1.232947391	-1.232947391	0.287040383	-0.179549403	-0.478593859	-0.259022088	0.266169915	-0.500162262	0.377528985	-0.988676235	-0.218868025	-0.057057667	0.223741365	ECU	Domesticated	filtered_NewRunLP87_tclust	filtered_SameEarlierALP75_tclust
177	0.44271154	0.354055893	0.506042111	0.538960098	0.405587812	0.418285839	0.571380591	0.125610993	0.405942953	0.465344221	0.39580589	0.199394079	0.453048834	-0.453048834	0.421247718	-0.281343173	0.267782847	-0.095553835	-0.270559545	-0.237304532	0.283676869	0.475230261	-0.138220125	-0.125233914	-0.155208037	ECU	Domesticated	filtered_NewRunPU167_tclust	filtered_NewRunDP99_tclust
178	0.992917262	0.354913663	0.55723058	0.46255696	0.524822877	0.590802966	0.634575914	0.132711883	0.571540838	0.536439768	0.528562553	0.546321328	1.825667985	-1.825667985	-1.125340519	-0.283216209	0.150436486	-0.039609664	-0.73533117	-0.030839582	-0.361489001	-0.084524448	-0.031688174	0.11336238	-0.001128995	ECU	Domesticated	filtered_NewRunPU167_tclust	filtered_NewRunLP47_tclust
179	0.766103291	0.549304653	0.705769432	0.51976932	0.625600023	0.707628759	0.522597706	0.201666654	0.566079543	0.386452017	0.673255219	0.475902053	2.12104144	-2.12104144	-0.352688762	-0.641600787	-0.450057311	0.296611731	0.051732682	0.18337141	-0.023190359	-0.116921984	0.138737105	0.173815391	-0.1253102	ECU	Domesticated	filtered_NewRunPU167_tclust	filtered_NewRunLP49_tclust
180	0.873420789	0.660843688	0.87337567	0.615806942	0.749129843	0.916876729	0.812844406	0.532004991	0.705467164	0.608778379	0.836366497	0.754904172	4.115499548	-4.115499548	-0.25533287	-0.622214923	0.120166885	0.41573729	-0.053812926	0.143475675	-0.253080145	-0.344356657	0.250454072	-0.098711297	-0.027801385	ECU	Domesticated	filtered_NewRunPU167_tclust	filtered_NewRunLP74_tclust
181	0.947263626	0.504410102	0.547492762	0.531282131	0.616447487	0.643417218	0.571859997	0.524388027	0.527296363	0.607776439	0.612856676	0.54747002	2.440767377	-2.440767377	-0.701130958	0.35901455	-0.048256322	0.474090296	-0.261964549	-0.036869383	-0.357475933	-0.001679166	-0.161301757	-0.053461208	0.059091741	ECU	Domesticated	filtered_NewRunPU167_tclust	filtered_NewRunLP85_tclust
182	0.850590724	0.611917783	0.805693735	0.558582127	0.680436722	0.886651043	0.632819183	0.091707369	0.47576164	0.220523159	0.761418403	0.503646807	2.529129483	-2.529129483	-0.710117293	-1.314778072	-0.341175911	0.331572907	0.498017703	0.493743213	0.184608713	-0.376418165	0.132064493	0.041620709	0.022588268	ECU	Domesticated	filtered_NewRunPU167_tclust	filtered_NewRunLP87_tclust
183	0.956268948	0.589208594	0.679170631	0.542872105	0.643749399	0.779393525	0.638667343	0.481575068	0.533869412	0.56356612	0.695331005	0.497248476	2.861258618	-2.861258618	-0.71192092	-0.175036	-0.080592502	0.519475707	0.079228895	0.073079077	-0.306438518	0.12136476	-0.017236577	-0.139727171	0.094637595	ECU	Domesticated	filtered_NewRunPU167_tclust	filtered_NewRunPU170_tclust
184	0.656345227	0.537778114	0.792673002	0.623481173	0.778111857	0.580740887	0.623994537	0.211164521	0.556000636	0.575087977	0.573345805	0.676587362	2.594491941	-2.594491941	0.113487145	-0.227338657	-0.244050111	-0.385252705	-0.355065177	0.3278932	0.232698952	-0.391247332	0.287638844	-0.180228398	-0.339583711	ECU	Domesticated	filtered_NewRunPU167_tclust	filtered_SameEarlierALP68_tclust
185	0.913292311	0.562304981	0.76038161	0.555773153	0.713293343	0.645280676	0.526326764	0.231805725	0.671541509	0.417427757	0.694980033	0.524779597	2.566489808	-2.566489808	-0.707922439	-0.431694085	-0.543256587	0.211930224	-0.140231027	0.312449775	0.062026752	-0.040402407	0.249583546	0.354727357	-0.314911986	ECU	Domesticated	filtered_NewRunPU167_tclust	filtered_SameEarlierALP75_tclust
186	0.637744762	0.520930431	0.522694078	0.508007466	0.421994241	0.532598157	0.756396439	0.124241335	0.421619684	0.3835287	0.424553508	0.192672224	1.0212978	-1.0212978	-0.123886126	-0.552925003	0.715777999	-0.161879654	0.251763422	0.008700852	0.057186004	0.572032012	-0.117624939	0.067873321	0.033372322	ECU	Domesticated	filtered_NewRunPU170_tclust	filtered_NewRunDP99_tclust
187	0.744221866	0.495771473	0.581611978	0.512573409	0.677688923	0.510579227	0.77693972	0.246640748	0.470220298	0.387454739	0.446003084	0.509624674	1.817528685	-1.817528685	-0.308577114	-0.112663442	0.636135874	-0.188648066	-0.137655045	0.576957456	0.084785408	-0.132813948	0.087297019	0.056076865	-0.09142724	ECU	Domesticated	filtered_NewRunPU170_tclust	filtered_NewRunLP47_tclust
