	logamplitude	logpitch	logFM	logAM2	logentropy	logpitchgoodness	logmeanfreq	logvpitch	logvFM	logventropy	logvpitchgoodness	vmeanfreq	PC1	PC1neg	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	batch	Population	batchpop	Template	Target
49	0.525952581	0.502511765	0.425614569	0.48251006	0.508745097	0.413038291	0.468382468	0.393000688	0.390198344	0.395226496	0.376303842	0.497031995	0.874771771	-0.874771771	0.324017613	0.557410811	0.080811541	0.14306583	0.037705036	-0.024029516	-0.021526238	-0.327591171	-0.001629173	0.153187096	-0.036728857	ECU	TGG	ECU-TGG	filtered_BR82_tclust	filtered_YE189_tclust
50	0.336679054	0.220527246	0.219344411	0.102156236	0.379694544	0.226993168	0.039712253	-0.100775155	-0.025093904	0.132348066	0.033982256	0.034780759	-2.508799586	2.508799586	0.164589015	0.373712099	-0.765942152	0.121510067	0.081299885	0.434239473	-0.232962016	0.003632446	0.178707787	-0.227532269	0.156446805	ECU	TGG	ECU-TGG	filtered_BR82_tclust	filtered_YE41_tclust
51	0.24523904	0.026172462	0.10696523	0.10487258	0.067162246	0.076531527	-0.078745239	-0.549661304	-0.160451609	-0.154190588	-0.17057749	-0.163139093	-4.460820036	4.460820036	-0.129917135	-0.180071669	-0.702466309	-0.2005169	0.046667134	-0.003577631	0.315049219	-0.014738673	0.124493356	0.030652446	0.226510038	ECU	TGG	ECU-TGG	filtered_DP51LP79_tclust	filtered_BL65_tclust
52	0.098945859	0.176562112	0.064066482	0.182866993	0.268459512	0.142509795	0.042657114	-0.019665047	0.027444	0.026923726	0.075546732	0.090690349	-2.889967346	2.889967346	0.871473646	0.487667121	-0.458574003	0.354722764	0.015926009	0.127822548	0.022105727	-0.328176252	-0.189427341	0.160568923	0.043388313	ECU	TGG	ECU-TGG	filtered_DP51LP79_tclust	filtered_BR82_tclust
53	0.086732082	0.056144887	0.010800491	0.123016755	0.122955104	-0.014069469	0.001311681	-0.20956001	-0.191501353	-0.201684673	-0.143173609	-0.179711901	-4.40570723	4.40570723	0.510076422	0.381622719	-0.207844361	0.264735163	0.243502713	0.195936354	0.423921923	-0.004372643	-0.040416691	0.049110332	0.095007019	ECU	TGG	ECU-TGG	filtered_DP51LP79_tclust	filtered_DP77_tclust
54	0.08213043	0.080519295	0.017635479	0.158567099	0.103431705	0.063922695	0.107333606	-0.041616753	-0.07375973	-0.043982141	0.047126788	0.021457973	-3.480663656	3.480663656	0.743072776	0.388519351	0.022758331	0.462346139	0.011877062	-0.131707309	0.095886163	-0.29349434	-0.241687022	0.054347677	-0.054405586	ECU	TGG	ECU-TGG	filtered_DP51LP79_tclust	filtered_WH10_tclust
55	0.237604574	-0.333606945	0.010424944	0.097411603	-0.232517675	-0.08096529	-0.052193966	-0.99146887	-0.248642081	-0.494744596	0.112546754	-0.326691384	-5.887879648	5.887879648	-0.7337747	-1.423979466	-0.347974703	0.231228933	-0.377276775	-0.343658128	0.767182001	-0.19773849	-0.513554462	0.255856952	-0.60386037	ECU	TGG	ECU-TGG	filtered_DP51LP79_tclust	filtered_WH18_tclust
56	0.131788842	0.168933249	-0.004278876	0.066683018	0.072025793	0.062248607	0.067928298	-0.170600738	-0.152318143	-0.132675173	0.049678396	-0.117104001	-3.897909437	3.897909437	0.470365578	0.175878695	-0.116946989	0.414558641	0.476518404	0.016904904	-0.098190567	-0.078616523	-0.244485389	0.128963735	-0.092041223	ECU	TGG	ECU-TGG	filtered_DP51LP79_tclust	filtered_YE182_tclust
57	0.368950347	0.028569	0.045806436	0.069981321	-0.227357279	-0.106662751	-0.115089226	-0.560009567	-0.29856513	-0.26152588	-0.096002907	-0.242860012	-5.166622838	5.166622838	-0.743589937	-0.086459469	-0.424709884	0.031926373	0.426768428	-0.648059794	0.264609547	0.022762058	0.00652193	0.137619546	-0.264955373	ECU	TGG	ECU-TGG	filtered_DP51LP79_tclust	filtered_YE188_tclust
58	0.399286551	0.118359213	0.086048709	0.148408626	0.279369234	-0.070940545	0.184450323	-0.160414228	-0.085029026	-0.135516847	-0.066477868	-0.023330328	-3.335778088	3.335778088	-0.282003274	0.591583598	0.146769282	0.018465975	0.06038157	0.555907704	0.320239611	-0.043559256	0.024323382	0.183233789	-0.21029697	ECU	TGG	ECU-TGG	filtered_DP51LP79_tclust	filtered_YE189_tclust
