	logamplitude	logpitch	logFM	logAM2	logentropy	logpitchgoodness	logmeanfreq	logvpitch	logvFM	logventropy	logvpitchgoodness	vmeanfreq	PC1	PC1neg	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	Population	Template	Target
89	0.400819569	0.380933043	0.225771002	0.21726052	0.216393613	0.271637892	0.286275303	0.163875793	0.227774542	0.277222672	0.185169401	0.181130641	-1.25696103	1.25696103	0.300475397	0.451014627	0.023629169	0.21403121	0.156810185	-0.304171253	-0.475866532	0.082193853	0.043260457	0.224708609	0.055012139	Timor	filtered_YE41_tclust	filtered_DP51LP79_tclust
90	0.588074194	0.444319629	0.350190239	0.33015756	0.412515144	0.353390123	0.298609949	0.197016915	0.253691569	0.283117426	0.229557823	0.212687945	-0.416764883	0.416764883	-0.148257451	0.472729605	-0.262813775	0.15850182	0.24219574	0.068276194	-0.152662596	0.148897921	0.098698162	0.134884262	0.116388223	Timor	filtered_YE41_tclust	filtered_DP77_tclust
91	0.556973069	0.467909562	0.398294024	0.376913031	0.340496319	0.511811051	0.414682281	0.300274165	0.340556642	0.294872292	0.344399875	0.351194502	0.258451176	-0.258451176	0.049559522	0.134532652	0.03710779	0.39528899	0.244303752	-0.244881018	-0.235039771	-0.147095463	0.083896895	0.184520543	0.251768981	Timor	filtered_YE41_tclust	filtered_WH10_tclust
92	0.653260402	0.214130354	0.217409534	0.235699321	0.276437951	0.161282823	0.197569353	0.081528961	0.152072211	0.088283917	0.230316309	0.11438612	-1.64924236	1.64924236	-0.693723915	0.488216857	-0.183649089	0.505894069	-0.065092595	0.032565267	-0.04585137	0.062817057	-0.058722299	0.270701757	-0.212799856	Timor	filtered_YE41_tclust	filtered_WH18_tclust
93	0.693939651	0.475523592	0.420599926	0.391570532	0.354195937	0.391364646	0.361831597	0.190275413	0.283221434	0.260254585	0.285153776	0.22350713	-0.065968142	0.065968142	-0.472959896	0.256995236	-0.122749706	0.171579172	0.356291918	-0.135033944	-0.022754214	0.187901747	0.135951782	0.190465031	0.07302008	Timor	filtered_YE41_tclust	filtered_YE182_tclust
94	0.070814987	0.218548717	0.127279978	0.041484199	0.054753781	-0.000602133	0.110559644	-0.640537488	-0.023033327	-0.000740156	0.00489265	-0.277056669	-4.114015694	4.114015694	0.564736021	-0.581225895	-0.343575339	-0.576947713	0.314894045	-0.010535071	-0.176532084	0.53454657	-0.046110563	0.23758518	-0.389120427	Timor	filtered_YE41_tclust	filtered_YE188_tclust
95	0.530163749	0.63483763	0.465389053	0.497801945	0.586001889	0.507938794	0.496041494	0.446945114	0.420348801	0.430175533	0.417109008	0.446679523	1.335222235	-1.335222235	0.451002243	0.487326001	-0.029394186	0.147491663	0.372113828	0.133791461	-0.105840207	-0.101715221	-0.010843952	0.154625238	0.077987357	Timor	filtered_YE41_tclust	filtered_YE189_tclust
96	0.382853766	0.377507623	0.128844699	0.13995404	0.089324238	0.074021604	0.122626309	-0.397444688	-0.217840843	0.140233914	0.017637768	-0.11645651	-3.219674391	3.219674391	-0.225289732	0.139768509	-0.3429224	-0.57629671	0.798106417	-0.204568163	-0.301617377	0.302435066	-0.227595472	-0.224092268	-0.162096632	Timor	filtered_YE182_tclust	filtered_BL65_tclust
97	0.098719001	0.33563357	-0.044329758	-0.094129522	0.246771105	-0.002421675	0.129245323	-0.450405337	-0.141948244	0.007697763	-0.229001105	-0.292059763	-4.276813656	4.276813656	0.617651877	0.259070921	-0.151785931	-0.665447571	0.649917674	0.739716191	-0.596015871	0.583313913	-0.02127655	0.154358527	0.154107595	Timor	filtered_YE182_tclust	filtered_BR82_tclust
98	-0.130091305	0.273547014	-0.16375457	-0.182055105	-0.138345147	-0.060977474	0.157341609	-0.718810713	-0.430529201	-0.293410697	-0.317016105	-0.342892301	-5.923177314	5.923177314	0.790146427	-0.381930639	0.459797157	-0.715930703	1.199762315	0.207575362	-0.512223819	0.050213675	-0.096388009	0.112859746	0.16375574	Timor	filtered_YE182_tclust	filtered_DP51LP79_tclust
99	-0.482630148	-0.25585509	-0.405620453	-0.53846317	-0.510002821	-0.362140287	-0.326305994	-1.326054183	-0.722633699	-0.688432468	-0.61862526	-0.762809929	-10.08801287	10.08801287	0.896842218	-0.942903374	-0.230726706	-0.483198254	0.596315783	0.048390458	-0.402550883	0.063856647	0.089897201	0.122461866	0.0598202	Timor	filtered_YE182_tclust	filtered_DP77_tclust
100	0.188920672	0.222728709	0.087247148	0.13241258	-0.046093108	0.046129552	0.297636362	-0.277476623	-0.165443015	-0.120821511	-0.131155625	-0.040442278	-3.705341187	3.705341187	0.240145674	-0.004938595	0.658605312	-0.26515874	0.574342941	-0.249903397	0.084847485	-0.121156394	0.086920066	0.077098915	0.091530291	Timor	filtered_YE182_tclust	filtered_WH10_tclust
101	-0.018827797	0.08195595	-0.030227717	-0.116945655	0.004462686	-0.143054354	-0.117024559	-0.720239139	-0.19761844	-0.270159134	-0.271516443	-0.379454782	-5.816342586	5.816342586	0.502617742	-0.201764942	-0.567034703	-0.425103934	0.358448808	0.293428821	-0.050926542	0.303918176	0.205118118	0.366950989	-0.116567737	Timor	filtered_YE182_tclust	filtered_WH18_tclust
